Name;Not Aesthetic;Aesthetic
1.png;0,9791374;0,02086256
10.png;0,967099;0,032901037
100.png;0,97036976;0,029630188
101.png;0,9411168;0,058883168
102.png;0,9396372;0,060362805
103.png;0,961575;0,038425058
104.png;0,93621385;0,06378618
105.png;0,934788;0,06521196
106.png;0,97265786;0,027342128
107.png;0,95029485;0,049705137
108.png;0,9514643;0,04853574
109.png;0,96765244;0,032347556
11.png;0,9735091;0,026490962
110.png;0,9434897;0,0565104
111.png;0,93612796;0,06387202
112.png;0,9724434;0,027556574
113.png;0,9707273;0,029272735
114.png;0,9489064;0,05109358
115.png;0,9681142;0,031885758
116.png;0,9454987;0,054501377
117.png;0,95601106;0,0439889
118.png;0,68264663;0,31735343
119.png;0,97792745;0,022072533
12.png;0,95022887;0,049771138
120.png;0,93861437;0,06138565
121.png;0,23624778;0,7637523
122.png;0,3547378;0,6452621
123.png;0,6366377;0,3633623
124.png;0,9609347;0,039065275
125.png;0,9578767;0,042123288
126.png;0,94030905;0,059690982
127.png;0,9619381;0,03806186
128.png;0,97402644;0,02597354
129.png;0,98524654;0,014753378
13.png;0,9668151;0,03318484
130.png;0,36898598;0,631014
131.png;0,9407528;0,059247185
132.png;0,9336498;0,06635024
133.png;0,08531279;0,91468716
134.png;0,40655583;0,5934441
135.png;0,737413;0,262587
136.png;0,97265786;0,027342128
137.png;0,9339475;0,06605255
138.png;0,9361868;0,06381326
139.png;0,96765244;0,032347556
14.png;0,29848647;0,7015136
140.png;0,93743825;0,06256174
141.png;0,9319794;0,06802052
142.png;0,9733446;0,026655402
143.png;0,87888926;0,12111077
144.png;0,80832225;0,19167773
145.png;0,97110105;0,028898872
146.png;0,76157385;0,23842613
147.png;0,8576441;0,14235592
148.png;0,9655156;0,034484383
149.png;0,9583856;0,041614443
15.png;0,967099;0,032901037
150.png;0,9456522;0,054347835
151.png;0,9603039;0,039696075
152.png;0,9757579;0,024242079
153.png;0,9870135;0,012986526
154.png;0,36897358;0,63102645
155.png;0,9334578;0,0665422
156.png;0,8983421;0,10165785
157.png;0,07706998;0,92293006
158.png;0,39202842;0,60797155
159.png;0,74092853;0,25907153
16.png;0,9808925;0,01910756
160.png;0,9542134;0,045786638
161.png;0,9619319;0,038068116
162.png;0,9239045;0,07609556
163.png;0,9729134;0,027086651
164.png;0,32008266;0,67991734
165.png;0,9393914;0,06060867
166.png;0,9239045;0,07609556
167.png;0,95476586;0,045234185
168.png;0,098556064;0,9014439
169.png;0,9542134;0,045786638
17.png;0,9117361;0,08826392
170.png;0,95019615;0,049803846
171.png;0,97177154;0,028228408
172.png;0,9287833;0,07121673
173.png;0,93773764;0,062262326
174.png;0,9239045;0,07609556
175.png;0,9607717;0,039228275
176.png;0,07636334;0,9236367
177.png;0,959682;0,040318005
178.png;0,95022887;0,049771138
179.png;0,9540682;0,045931898
18.png;0,91786796;0,08213207
180.png;0,13006434;0,8699357
181.png;0,96830386;0,03169618
182.png;0,96929157;0,03070846
183.png;0,95152014;0,048479915
184.png;0,9189291;0,08107085
185.png;0,95066005;0,049339987
186.png;0,909179;0,09082107
187.png;0,95358044;0,04641959
188.png;0,95022887;0,049771138
189.png;0,9365732;0,06342679
19.png;0,981262;0,018737977
190.png;0,09027943;0,9097206
191.png;0,92846143;0,07153863
192.png;0,9500712;0,04992883
193.png;0,89627385;0,10372612
194.png;0,97036976;0,029630188
195.png;0,95286596;0,04713404
196.png;0,9515079;0,04849204
197.png;0,961575;0,038425058
198.png;0,9409534;0,05904656
199.png;0,93491393;0,065086074
2.png;0,9767446;0,023255356
20.png;0,9290305;0,07096954
200.png;0,9633461;0,036653847
201.png;0,9611979;0,038802013
202.png;0,9437875;0,05621254
203.png;0,9460157;0,053984273
204.png;0,8806128;0,11938724
205.png;0,9171067;0,082893334
206.png;0,63334715;0,36665282
207.png;0,9724036;0,027596347
208.png;0,934026;0,06597396
209.png;0,17748901;0,8225109
21.png;0,922344;0,07765602
210.png;0,33665723;0,66334283
211.png;0,6695198;0,33048025
212.png;0,9408691;0,059130907
213.png;0,949358;0,050641958
214.png;0,93785495;0,062145047
215.png;0,9188243;0,08117567
216.png;0,9697548;0,030245187
217.png;0,9751937;0,024806289
218.png;0,27551946;0,7244805
219.png;0,9390232;0,06097673
22.png;0,9767446;0,023255356
220.png;0,9353365;0,06466349
221.png;0,05294009;0,9470599
222.png;0,37667763;0,6233224
223.png;0,70826757;0,29173237
224.png;0,97036976;0,029630188
225.png;0,939062;0,060938034
226.png;0,9381928;0,06180715
227.png;0,961575;0,038425058
228.png;0,9351258;0,06487417
229.png;0,9322192;0,06778075
23.png;0,92629254;0,07370742
230.png;0,9667573;0,033242714
231.png;0,7940149;0,20598514
232.png;0,6801226;0,31987736
233.png;0,9639973;0,036002766
234.png;0,62657773;0,37342224
235.png;0,8131217;0,18687831
236.png;0,9391959;0,060804166
237.png;0,9435812;0,05641876
238.png;0,9256246;0,07437546
239.png;0,92611724;0,07388278
24.png;0,9351971;0,06480287
240.png;0,9712616;0,02873842
241.png;0,9770842;0,02291577
242.png;0,23914997;0,76085
243.png;0,92055905;0,079440966
244.png;0,8966909;0,1033091
245.png;0,050147563;0,9498524
246.png;0,34714314;0,6528568
247.png;0,70298684;0,29701322
248.png;0,9609347;0,039065275
249.png;0,9578767;0,042123288
25.png;0,9783;0,021700026
250.png;0,94030905;0,059690982
251.png;0,9619381;0,03806186
252.png;0,97402644;0,02597354
253.png;0,98524654;0,014753378
254.png;0,3821229;0,6178772
255.png;0,93981194;0,060188126
256.png;0,9325586;0,06744141
257.png;0,08128005;0,91872
258.png;0,39282927;0,60717064
259.png;0,7362867;0,2637133
26.png;0,9257673;0,07423268
260.png;0,9731094;0,02689056
261.png;0,87559277;0,12440724
262.png;0,8059705;0,19402945
263.png;0,9709671;0,029032895
264.png;0,7640472;0,2359528
265.png;0,8576441;0,14235592
266.png;0,9160188;0,08398124
267.png;0,8635152;0,13648476
268.png;0,79858893;0,20141105
269.png;0,9295945;0,07040545
27.png;0,9149636;0,0850364
270.png;0,71257573;0,28742433
271.png;0,8428142;0,15718584
272.png;0,9551073;0,0448927
273.png;0,94043905;0,059560977
274.png;0,9276121;0,072387815
275.png;0,95294696;0,047053073
276.png;0,9748872;0,02511278
277.png;0,98524654;0,014753378
278.png;0,32460925;0,6753908
279.png;0,92706275;0,07293723
28.png;0,97265786;0,027342128
280.png;0,9080107;0,09198932
281.png;0,057199705;0,9428003
282.png;0,3245828;0,6754172
283.png;0,6910715;0,30892852
284.png;0,9140537;0,08594633
285.png;0,85993314;0,14006692
286.png;0,81439364;0,18560635
287.png;0,9243704;0,075629614
288.png;0,72314924;0,2768507
289.png;0,832954;0,16704598
29.png;0,95029485;0,049705137
290.png;0,9393914;0,06060867
291.png;0,9239045;0,07609556
292.png;0,95476586;0,045234185
293.png;0,09516378;0,90483624
294.png;0,95019615;0,049803846
295.png;0,97177154;0,028228408
296.png;0,9280459;0,071954094
297.png;0,86234516;0,1376549
298.png;0,9403603;0,059639778
299.png;0,8414965;0,15850343
3.png;0,92629254;0,07370742
30.png;0,9514643;0,04853574
300.png;0,9360661;0,063933924
301.png;0,9239045;0,07609556
302.png;0,937807;0,062193003
303.png;0,06369198;0,93630797
304.png;0,85707206;0,14292802
305.png;0,94015014;0,05984982
306.png;0,80114806;0,19885197
307.png;0,9189291;0,08107085
308.png;0,95066005;0,049339987
309.png;0,91169286;0,08830718
31.png;0,96765244;0,032347556
310.png;0,90664876;0,093351215
311.png;0,93307775;0,066922195
312.png;0,8567198;0,14328016
313.png;0,9408691;0,059130907
314.png;0,949358;0,050641958
315.png;0,93785495;0,062145047
316.png;0,9188243;0,08117567
317.png;0,9697548;0,030245187
318.png;0,9751937;0,024806289
319.png;0,276873;0,723127
32.png;0,9434897;0,0565104
320.png;0,93922615;0,060773894
321.png;0,93473125;0,06526876
322.png;0,051376324;0,94862366
323.png;0,3668034;0,63319665
324.png;0,7101036;0,2898965
325.png;0,9670192;0,032980815
326.png;0,78220433;0,21779567
327.png;0,6621428;0,33785713
328.png;0,9640713;0,035928693
329.png;0,62794465;0,37205532
33.png;0,93612796;0,06387202
330.png;0,8131217;0,18687831
331.png;0,86295235;0,13704766
332.png;0,86251074;0,1374892
333.png;0,7906213;0,20937875
334.png;0,87663025;0,12336976
335.png;0,6550318;0,34496817
336.png;0,8265549;0,17344514
337.png;0,93754625;0,062453687
338.png;0,93725014;0,06274991
339.png;0,92456317;0,07543677
34.png;0,9724434;0,027556574
340.png;0,91658914;0,08341091
341.png;0,9707187;0,029281382
342.png;0,9751937;0,024806289
343.png;0,21932888;0,7806711
344.png;0,9258853;0,07411463
345.png;0,9094743;0,090525664
346.png;0,038365845;0,96163416
347.png;0,29907203;0,700928
348.png;0,6725175;0,32748246
349.png;0,86598486;0,13401513
35.png;0,9707273;0,029272735
350.png;0,84838915;0,15161085
351.png;0,759039;0,24096106
352.png;0,88195664;0,1180434
353.png;0,6543678;0,34563217
354.png;0,8089347;0,19106536
355.png;0,9182118;0,081788175
356.png;0,8661778;0,13382217
357.png;0,80667776;0,19332226
358.png;0,92954487;0,07045513
359.png;0,7262371;0,27376288
36.png;0,9489064;0,05109358
360.png;0,8509056;0,14909434
361.png;0,86907077;0,13092922
362.png;0,7891099;0,21089016
363.png;0,75672215;0,24327785
364.png;0,89382476;0,10617524
365.png;0,7041901;0,29580986
366.png;0,7904961;0,2095039
367.png;0,86234516;0,1376549
368.png;0,9403603;0,059639778
369.png;0,8435421;0,15645786
37.png;0,9681142;0,031885758
370.png;0,8560787;0,14392135
371.png;0,9300865;0,06991348
372.png;0,77537984;0,22462021
373.png;0,9469043;0,053095765
374.png;0,96898335;0,031016678
375.png;0,8275968;0,17240317
376.png;0,9469043;0,053095765
377.png;0,969003;0,030996947
378.png;0,7639244;0,23607557
38.png;0,9454987;0,054501377
39.png;0,95601106;0,0439889
4.png;0,9351971;0,06480287
40.png;0,6368271;0,36317292
41.png;0,97787434;0,022125604
42.png;0,93869895;0,061301023
43.png;0,22870307;0,771297
44.png;0,32292792;0,67707205
45.png;0,57753444;0,42246556
46.png;0,97265786;0,027342128
47.png;0,9522018;0,047798228
48.png;0,9527038;0,04729623
49.png;0,96765244;0,032347556
5.png;0,9783;0,021700026
50.png;0,9494629;0,05053714
51.png;0,94340295;0,056597035
52.png;0,9811198;0,018880133
53.png;0,9542134;0,045786638
54.png;0,9619319;0,038068116
55.png;0,9239045;0,07609556
56.png;0,9729134;0,027086651
57.png;0,31156686;0,68843305
58.png;0,9542134;0,045786638
59.png;0,967099;0,032901037
6.png;0,9257673;0,07423268
60.png;0,9735091;0,026490962
61.png;0,95022887;0,049771138
62.png;0,9668151;0,03318484
63.png;0,3244021;0,6755979
64.png;0,959682;0,040318005
65.png;0,95022887;0,049771138
66.png;0,9540682;0,045931898
67.png;0,13549365;0,86450636
68.png;0,967099;0,032901037
69.png;0,96830386;0,03169618
7.png;0,9149636;0,0850364
70.png;0,96929157;0,03070846
71.png;0,9535903;0,04640967
72.png;0,96410143;0,035898548
73.png;0,95022887;0,049771138
74.png;0,96538645;0,034613565
75.png;0,11780344;0,8821966
76.png;0,9808925;0,01910756
77.png;0,9117361;0,08826392
78.png;0,91786796;0,08213207
79.png;0,981262;0,018737977
8.png;0,9811198;0,018880133
80.png;0,9290305;0,07096954
81.png;0,922344;0,07765602
82.png;0,97036976;0,029630188
83.png;0,95286596;0,04713404
84.png;0,9515079;0,04849204
85.png;0,961575;0,038425058
86.png;0,9409534;0,05904656
87.png;0,93491393;0,065086074
88.png;0,9633461;0,036653847
89.png;0,9611979;0,038802013
9.png;0,9791374;0,02086256
90.png;0,9437875;0,05621254
91.png;0,9460157;0,053984273
92.png;0,8806128;0,11938724
93.png;0,9171067;0,082893334
94.png;0,60461485;0,3953851
95.png;0,9723041;0,027695948
96.png;0,9341632;0,0658368
97.png;0,17526951;0,8247305
98.png;0,3107087;0,6892913
99.png;0,6366873;0,36331278
